"plot";"variable";"value"
"ga01";"altitude";1895
"ga01";"cov";"98"
"ga01";"date";"12.08.2008"
"ga01";"exp";"SSW"
"ga01";"hcov";"90"
"ga01";"hhl1";"35"
"ga01";"hhl2";"60"
"ga01";"hsl";"0"
"ga01";"htl";"0"
"ga01";"latitude";47,079429
"ga01";"location";"Bockhartsee"
"ga01";"longitude";13,055867
"ga01";"mcov";"50"
"ga01";"plsx";"10"
"ga01";"plsy";"15"
"ga01";"scov";"0"
"ga01";"slope";"30"
"ga01";"syntaxon";"Rhododendretum ferruginei Rübel 1911"
"ga01";"tcov";"0"
"ga02";"altitude";1895
"ga02";"cov";"98"
"ga02";"date";"12.08.2008"
"ga02";"exp";"S"
"ga02";"hcov";"98"
"ga02";"hhl1";"45"
"ga02";"hhl2";"120"
"ga02";"hsl";"3"
"ga02";"htl";"0"
"ga02";"latitude";47,08017
"ga02";"location";"Bockhartsee"
"ga02";"longitude";13,051597
"ga02";"mcov";"2"
"ga02";"plsx";"10"
"ga02";"plsy";"15"
"ga02";"scov";"3"
"ga02";"slope";"30"
"ga02";"syntaxon";"Rhododendretum ferruginei Rübel 1911"
"ga02";"tcov";"0"
"ga03";"altitude";1901
"ga03";"cov";"85"
"ga03";"date";"12.08.2008"
"ga03";"exp";"S"
"ga03";"hcov";"85"
"ga03";"hhl1";"30"
"ga03";"hhl2";"70"
"ga03";"hsl";"0"
"ga03";"htl";"0"
"ga03";"latitude";47,080334
"ga03";"location";"Bockhartsee"
"ga03";"longitude";13,048882
"ga03";"mcov";"50"
"ga03";"plsx";"10"
"ga03";"plsy";"15"
"ga03";"scov";"0"
"ga03";"slope";"30"
"ga03";"syntaxon";"Rhododendretum ferruginei Rübel 1911"
"ga03";"tcov";"0"
"ga04";"altitude";2159
"ga04";"cov";"90"
"ga04";"date";"12.08.2008"
"ga04";"exp";"S"
"ga04";"hcov";"90"
"ga04";"hhl1";"15"
"ga04";"hhl2";"30"
"ga04";"hsl";"0"
"ga04";"htl";"0"
"ga04";"latitude";47,083015
"ga04";"location";"Bockhartsee"
"ga04";"longitude";13,030201
"ga04";"mcov";"5"
"ga04";"plsx";"3"
"ga04";"plsy";"6"
"ga04";"scov";"0"
"ga04";"slope";"40"
"ga04";"syntaxon";"Loiseleurio-caricetum curvulae Pitschmann et al. 1980"
"ga04";"tcov";"0"
"ga05";"altitude";2141
"ga05";"cov";"97"
"ga05";"date";"12.08.2008"
"ga05";"exp";"SO"
"ga05";"hcov";"97"
"ga05";"hhl1";"40"
"ga05";"hhl2";"70"
"ga05";"hsl";"0"
"ga05";"htl";"0"
"ga05";"latitude";47,082643
"ga05";"location";"Bockhartsee"
"ga05";"longitude";13,030224
"ga05";"mcov";"1"
"ga05";"plsx";"5"
"ga05";"plsy";"5"
"ga05";"scov";"0"
"ga05";"slope";"30"
"ga05";"syntaxon";"Caricetum ferruginei Lüdi 1921"
"ga05";"tcov";"0"
"ga06";"altitude";2116
"ga06";"cov";"100"
"ga06";"date";"12.08.2008"
"ga06";"exp";"SO"
"ga06";"hcov";"100"
"ga06";"hhl1";"60"
"ga06";"hhl2";"80"
"ga06";"hsl";"0"
"ga06";"htl";"0"
"ga06";"latitude";47,082764
"ga06";"location";"Bockhartsee"
"ga06";"longitude";13,030686
"ga06";"mcov";"1"
"ga06";"plsx";"6"
"ga06";"plsy";"4"
"ga06";"scov";"0"
"ga06";"slope";"30"
"ga06";"syntaxon";"Caricetum ferruginei Lüdi 1921"
"ga06";"tcov";"0"
"ga07";"altitude";2100
"ga07";"cov";"95"
"ga07";"date";"12.08.2008"
"ga07";"exp";"SO"
"ga07";"hcov";"95"
"ga07";"hhl1";"45"
"ga07";"hhl2";"90"
"ga07";"hsl";"0"
"ga07";"htl";"0"
"ga07";"latitude";47,083316
"ga07";"location";"Bockhartsee"
"ga07";"longitude";13,032671
"ga07";"mcov";"5"
"ga07";"plsx";"5"
"ga07";"plsy";"5"
"ga07";"scov";"0"
"ga07";"slope";"35"
"ga07";"syntaxon";"Chaerophyllo villarsii-Agrostietum schradderianae Grabherr 1993"
"ga07";"tcov";"0"
"ga08";"altitude";2049
"ga08";"cov";"100"
"ga08";"date";"12.08.2008"
"ga08";"exp";"F"
"ga08";"hcov";"70"
"ga08";"hhl1";"30"
"ga08";"hhl2";"30"
"ga08";"hsl";"0"
"ga08";"htl";"0"
"ga08";"latitude";47,080975
"ga08";"location";"Bockhartsee"
"ga08";"longitude";13,038829
"ga08";"mcov";"100"
"ga08";"plsx";"7"
"ga08";"plsy";"7"
"ga08";"scov";"0"
"ga08";"slope";"0"
"ga08";"syntaxon";"Caricetum goodenowii Braun 1915"
"ga08";"tcov";"0"
"ga09";"altitude";2067
"ga09";"cov";"100"
"ga09";"date";"12.08.2008"
"ga09";"exp";"F"
"ga09";"hcov";"98"
"ga09";"hhl1";"50"
"ga09";"hhl2";"90"
"ga09";"hsl";"0"
"ga09";"htl";"0"
"ga09";"latitude";47,081002
"ga09";"location";"Bockhartsee"
"ga09";"longitude";13,039086
"ga09";"mcov";"60"
"ga09";"plsx";"7"
"ga09";"plsy";"7"
"ga09";"scov";"0"
"ga09";"slope";"0"
"ga09";"syntaxon";"Caricetum rostratae Osvald 1923 em. Dierßen 1982"
"ga09";"tcov";"0"
"ga10";"altitude";2057
"ga10";"cov";"98"
"ga10";"date";"12.08.2008"
"ga10";"exp";"F"
"ga10";"hcov";"98"
"ga10";"hhl1";"35"
"ga10";"hhl2";"70"
"ga10";"hsl";"0"
"ga10";"htl";"0"
"ga10";"latitude";47,080172
"ga10";"location";"Bockhartsee"
"ga10";"longitude";13,038938
"ga10";"mcov";"40"
"ga10";"plsx";"7"
"ga10";"plsy";"7"
"ga10";"scov";"0"
"ga10";"slope";"0"
"ga10";"syntaxon";"Caricetum goodenowii Braun 1915"
"ga10";"tcov";"0"
"ga11";"altitude";2050
"ga11";"cov";"85"
"ga11";"date";"12.08.2008"
"ga11";"exp";"F"
"ga11";"hcov";"80"
"ga11";"hhl1";"20"
"ga11";"hhl2";"50"
"ga11";"hsl";"0"
"ga11";"htl";"0"
"ga11";"latitude";47,080798
"ga11";"location";"Bockhartsee"
"ga11";"longitude";13,041644
"ga11";"mcov";"25"
"ga11";"plsx";"5"
"ga11";"plsy";"5"
"ga11";"scov";"0"
"ga11";"slope";"0"
"ga11";"syntaxon";"Amblystegio intermedii-Scirpetum austriaci Nordhagen 1928 em. Dierßen 1982"
"ga11";"tcov";"0"
"ga12";"altitude";2046
"ga12";"cov";"70"
"ga12";"date";"12.08.2008"
"ga12";"exp";"N"
"ga12";"hcov";"60"
"ga12";"hhl1";"10"
"ga12";"hhl2";"20"
"ga12";"hsl";"0"
"ga12";"htl";"0"
"ga12";"latitude";47,08031
"ga12";"location";"Bockhartsee"
"ga12";"longitude";13,0422
"ga12";"mcov";"25"
"ga12";"plsx";"5"
"ga12";"plsy";"3"
"ga12";"scov";"0"
"ga12";"slope";"5"
"ga12";"syntaxon";"Loiseleurio-Cetrarietum Br.-Bl. Et al. 1939"
"ga12";"tcov";"0"
"ga13";"altitude";2011
"ga13";"cov";"100"
"ga13";"date";"12.08.2008"
"ga13";"exp";"NO"
"ga13";"hcov";"98"
"ga13";"hhl1";"30"
"ga13";"hhl2";"70"
"ga13";"hsl";"0"
"ga13";"htl";"0"
"ga13";"latitude";47,079114
"ga13";"location";"Bockhartsee"
"ga13";"longitude";13,043894
