"plot";"abbr";"layer";"cov";
"ps01";"sesl albi";"hl";5;
"ps01";"sese aust";"hl";"+";
"ps01";"glob cord";"hl";1;
"ps01";"gali luci";"hl";1;
"ps01";"teuc mont";"hl";"+";
"ps01";"eric carn";"hl";1;
"ps01";"bupl falc";"hl";"+";
"ps01";"camp coch";"hl";"+";"cf."
"ps01";"achi clav";"hl";"+";
"ps01";"cycl purp";"hl";"+";
"ps01";"erys sylv";"hl";"+";
"ps01";"aspl tric";"hl";"+";
"ps01";"aspl ruta";"hl";"+";
"ps01";"rham cath";"hl";"+";
"ps01";"thes alpi";"hl";"+";
"ps02";"rosa cani";"sl";1;
"ps02";"rosa cani";"hl";"+";
"ps02";"sesl albi";"hl";4;
"ps02";"bupl falc";"hl";1;
"ps02";"sedu albu";"hl";"+";
"ps02";"jovi hirt";"hl";"+";
"ps02";"erys sylv";"hl";"+";
"ps02";"sese aust";"hl";1;
"ps02";"glob cord";"hl";"+";
"ps02";"meli cili";"hl";1;
"ps02";"gali luci";"hl";"2a";
"ps02";"arab cili";"hl";"+";
"ps02";"camp coch";"hl";"+";"cf."
"ps02";"aspl tric";"hl";"+";
"ps02";"geni pilo";"hl";"+";
"ps02";"arab turr";"hl";"+";
"ps02";"gera robe";"hl";"+";
"ps02";"hier glauc";"hl";"+";
"ps02";"thal minu";"hl";"+";
"ps02";"scab luci luci";"hl";"+";
"ps02";"teuc mont";"hl";"+";
"ps02";"saxi pani";"hl";"+";
"ps02";"amel oval";"hl";"+";
"ps02";"poly cham";"hl";"+";
"ps02";"euph cypa";"hl";"+";
