"plot";"variable";"value"
"vsb0227";"cov";"35"
"vsb0227";"tcov";"0"
"vsb0227";"scov";"0"
"vsb0227";"hcov";"35"
"vsb0227";"mcov";"0"
"vsb0227";"htl";"0"
"vsb0227";"hsl";"0"
"vsb0227";"hhl1";"0"
"vsb0227";"hhl2";"0"
"vsb0227";"expo";"NW"
"vsb0227";"slope";"20"
"vsb0227";"plsx";"4"
"vsb0227";"plsy";"4"
"vsb0227";"comment";""
"vsb0228";"cov";"65"
"vsb0228";"tcov";"0"
"vsb0228";"scov";"0"
"vsb0228";"hcov";"65"
"vsb0228";"mcov";"0"
"vsb0228";"htl";"0"
"vsb0228";"hsl";"0"
"vsb0228";"hhl1";"0"
"vsb0228";"hhl2";"0"
"vsb0228";"expo";"N"
"vsb0228";"slope";"25"
"vsb0228";"plsx";"3"
"vsb0228";"plsy";"3"
"vsb0228";"comment";"nördlicher fingerartiger Ausläufer, 3m SW eines Stolleneinganges"
"vsb0229";"cov";"35"
"vsb0229";"tcov";"0"
"vsb0229";"scov";"0"
"vsb0229";"hcov";"35"
"vsb0229";"mcov";"0"
"vsb0229";"htl";"0"
"vsb0229";"hsl";"0"
"vsb0229";"hhl1";"0"
"vsb0229";"hhl2";"0"
"vsb0229";"expo";"NW"
"vsb0229";"slope";"35"
"vsb0229";"plsx";"4"
"vsb0229";"plsy";"4"
"vsb0229";"comment";""
"vsb0230";"cov";"35"
"vsb0230";"tcov";"0"
"vsb0230";"scov";"0"
"vsb0230";"hcov";"35"
"vsb0230";"mcov";"0"
"vsb0230";"htl";"0"
"vsb0230";"hsl";"0"
"vsb0230";"hhl1";"0"
"vsb0230";"hhl2";"0"
"vsb0230";"expo";"N"
"vsb0230";"slope";"30"
"vsb0230";"plsx";"3"
"vsb0230";"plsy";"3"
"vsb0230";"comment";""
"vsb0231";"cov";"45"
"vsb0231";"tcov";"0"
"vsb0231";"scov";"0"
"vsb0231";"hcov";"45"
"vsb0231";"mcov";"0"
"vsb0231";"htl";"0"
"vsb0231";"hsl";"0"
"vsb0231";"hhl1";"0"
"vsb0231";"hhl2";"0"
"vsb0231";"expo";"N"
"vsb0231";"slope";"5"
"vsb0231";"plsx";"3"
"vsb0231";"plsy";"3"
"vsb0231";"comment";"Flachgelände im nördlichen Zwickelbereich"
