"plot";"abbr";"layer";"cov";"voucher";"determined"
"ri01a";"achi mill aggr";"hl";1;;
"ri01a";"ajug rept";"hl";1;;
"ri01a";"anth odor";"hl";1;;
"ri01a";"care sylv";"hl";"+";;
"ri01a";"caru carv";"hl";1;;
"ri01a";"cent jace jace";"hl";1;;
"ri01a";"cera holo";"hl";"+";;
"ri01a";"colc autu";"hl";"+";;
"ri01a";"crep bien";"hl";"+";;
"ri01a";"cyno cris";"hl";"+";;
"ri01a";"dact glom";"hl";"2a";;
"ri01a";"fest prat prat";"hl";"2a";;
"ri01a";"fest rubr rubr";"hl";"+";;
"ri01a";"gali albu";"hl";1;;
"ri01a";"glec hede";"hl";"+";;
"ri01a";"hera spho spho";"hl";"+";;
"ri01a";"holc lana";"hl";1;;
"ri01a";"knau arve arve";"hl";"+";;
"ri01a";"leon hisp hisp";"hl";"+";;
"ri01a";"leuc ircu";"hl";1;;
"ri01a";"lysi numm";"hl";"+";;
"ri01a";"medi lupu";"hl";"+";;
"ri01a";"pimp majo";"hl";"+";;
"ri01a";"plan lanc";"hl";"+";;
"ri01a";"plan medi";"hl";"+";;
"ri01a";"poa prat";"hl";"+";;
"ri01a";"poa triv";"hl";1;;
"ri01a";"prun vulg";"hl";"+";;
"ri01a";"ranu acri acri";"hl";1;;
"ri01a";"ranu repe";"hl";"2a";;
"ri01a";"tara sect rude";"hl";"+";;
"ri01a";"trag orie";"hl";"+";;
"ri01a";"trif prat prat";"hl";"2b";;
"ri01a";"trif repe repe";"hl";"+";;
"ri01a";"tris flav flav";"hl";"2a";;
"ri01a";"vero cham cham";"hl";"+";;
"ri01a";"vici crac";"hl";1;;
"ri01b";"achi mill aggr";"hl";"2b";;
"ri01b";"agro stol";"hl";"+";;
"ri01b";"bell pere";"hl";"+";;
"ri01b";"caru carv";"hl";"+";;
"ri01b";"cera holo";"hl";"2m";;
"ri01b";"dact glom";"hl";3;;
"ri01b";"elym repe";"hl";"+";;
"ri01b";"fest prat prat";"hl";1;;
"ri01b";"gali albu";"hl";"+";;
"ri01b";"leon hisp hisp";"hl";"+";;
"ri01b";"medi lupu";"hl";"2m";;
"ri01b";"phal arun";"hl";1;;
"ri01b";"plan lanc";"hl";1;;
"ri01b";"poa annu";"hl";"+";;
"ri01b";"poa triv";"hl";"2b";;
"ri01b";"prun vulg";"hl";"+";;
"ri01b";"ranu repe";"hl";1;;
"ri01b";"symp offi";"hl";"+";;
"ri01b";"tara sect rude";"hl";1;;
"ri01b";"trif prat prat";"hl";1;;
"ri01b";"trif repe repe";"hl";3;;
"ri01b";"tris flav flav";"hl";"2a";;
"ri01b";"vero fili";"hl";"+";;
"ri01b";"vici crac";"hl";1;;
"ri02a";"aego poda";"hl";1;;
"ri02a";"ange sylv sylv";"hl";"+";;
"ri02a";"cala epig";"hl";"+";;
"ri02a";"caly sepi";"hl";"+";;
"ri02a";"cirs arve";"hl";"+";;
"ri02a";"cirs oler";"hl";"+";;
"ri02a";"clem vita";"hl";"+";;
"ri02a";"dact glom";"hl";"+";;
"ri02a";"fili ulma ulma";"hl";"+";;
"ri02a";"frax exce";"hl";"+";;
"ri02a";"frax exce";"sl";"+";;
"ri02a";"gale mont";"hl";1;;
"ri02a";"gali apar";"hl";"2a";;
"ri02a";"glec hede";"hl";"+";;
"ri02a";"geum urba";"hl";"+";;
"ri02a";"humu lupu";"hl";"+";;
"ri02a";"humu lupu";"sl";"+";;
"ri02a";"impa glan";"hl";1;;
"ri02a";"peta hybr";"hl";"r";;
"ri02a";"phal arun";"hl";"2b";;
"ri02a";"pice abie";"sl";"2b";;
"ri02a";"poa triv";"hl";"2a";;
"ri02a";"rubu caes";"hl";"+";;
"ri02a";"symp offi";"hl";1;;
"ri02a";"urti dioi";"hl";4;;
"ri02a";"vici sepi";"hl";"+";;
"ri03a";"acer plat";"sl";1;;
"ri03a";"acer pseu";"hl";"+";;
"ri03a";"aego poda";"hl";"+";;
"ri03a";"alnu glut";"sl";"2a";;
"ri03a";"ange sylv sylv";"hl";"+";;
"ri03a";"astr majo";"hl";"+";;
"ri03a";"caly sepi";"hl";"+";;
"ri03a";"care acut";"hl";1;;
"ri03a";"cent jace jace";"hl";1;;
"ri03a";"chae hirs";"hl";"+";;
"ri03a";"cirs arve";"hl";1;;
"ri03a";"cirs oler";"hl";"2b";;
"ri03a";"colc autu";"hl";"+";;
"ri03a";"dact glom";"hl";"2b";;
"ri03a";"euph dulc";"hl";"+";;
"ri03a";"fest prat prat";"hl";"+";;
"ri03a";"fili ulma ulma";"hl";1;;
"ri03a";"frax exce";"sl";"2b";;
"ri03a";"gali albu";"hl";"+";;
"ri03a";"hera spho spho";"hl";"+";;
"ri03a";"hype macu";"hl";"+";;
"ri03a";"lath prat";"hl";"+";;
"ri03a";"lysi vulg";"hl";"+";;
"ri03a";"phal arun";"hl";"2a";;
"ri03a";"poa prat";"hl";"+";;
"ri03a";"poa triv";"hl";"+";;
"ri03a";"rubu caes";"hl";1;;
"ri03a";"soli giga";"hl";"2a";;
"ri03a";"symp offi";"hl";"2b";;
"ri03a";"tara sect rude";"hl";1;;
"ri03a";"urti dioi";"hl";"+";;
"ri03a";"vici crac";"hl";1;;
"ri04a";"acer pseu";"hl";"+";;
"ri04a";"acer pseu";"sl";"+";;
"ri04a";"aego poda";"hl";3;;
"ri04a";"alli ursi";"hl";1;;
"ri04a";"alnu inca";"sl";"+";;
"ri04a";"alnu inca";"tl1";1;;
"ri04a";"alnu inca";"tl2";1;;
"ri04a";"anem nemo";"hl";1;;
"ri04a";"anem ranu";"hl";1;;
"ri04a";"ange sylv sylv";"hl";"+";;
"ri04a";"care acut";"hl";1;;
"ri04a";"chae hirs";"hl";"+";;
"ri04a";"corn sang slat";"hl";"+";;
"ri04a";"corn sang slat";"sl";"2a";;
"ri04a";"desc cesp";"hl";1;;
"ri04a";"equi arve";"hl";"+";;
"ri04a";"evon euro";"sl";"+";;
"ri04a";"fest giga";"hl";1;;
"ri04a";"fili ulma ulma";"hl";1;;
"ri04a";"frax exce";"hl";"+";;
