plot;abbr;layer;cov;voucher.flag;voucher;comment
ds01;pedi rost tata;hl;+;;;
ds01;care firm;hl;2b;;;
ds01;prim clus;hl;2b;;;
ds01;sela sela;hl;+;;;
ds01;kobr simp;hl;2m;;;
ds01;ranu alpe;hl;+;;;
ds01;sesl caer;hl;+;;;
ds01;drya octo;hl;3;;;
ds01;cham alpi;hl;r;;;
ds01;heli alpe;hl;+;;;
ds01;gali nori;hl;1;;;
ds01;agro rupe rupe;hl;1;;;
ds01;minu sedo;hl;+;;;
ds01;pote clus;hl;+;;;
ds01;euph sali;hl;+;;;
ds01;gent vern vern;hl;1;;;
ds01;prim mini;hl;+;;;
ds01;fest pumi;hl;+;;;
ds01;minu gera;hl;+;;;
ds01;agro alpi;hl;+;;;
ds01;flav cucu;ml;+;;;
ds01;alec ochr;ml;+;;;
ds01;racu lanu;ml;2a;;;
ds01;calo tiro;ml;+;;;
ds01;vulp tubu;ml;+;;;
ds01;cetr isla isla;ml;+;;;
ds01;tort tort;ml;1;;;
ds01;cetr eric;ml;+;;;
ds02;drya octo;hl;3;;;
ds02;care firm;hl;2b;;;
ds02;sesl caer;hl;2b;;;
ds02;fest pumi;hl;1;;;
ds02;agro alpi;hl;1;;;
ds02;drab saut;hl;1;;;
ds02;andr cham;hl;1;;;
ds02;pach mute;hl;+;;;
ds02;pedi rost tata;hl;+;;;
ds02;euph sali;hl;+;;;
ds02;gent vern vern;hl;1;;;
ds02;gali nori;hl;1;;;
ds02;gent clus clus;hl;+;;;
ds02;agro rupe rupe;hl;1;;;
ds02;sile acau long;hl;+;;;
ds02;kobr simp;hl;2a;;;
ds02;pote clus;hl;+;;;
ds02;sela sela;hl;+;;;
ds02;oxyt mont;hl;r;;;
ds02;minu gera;hl;+;;;
ds02;anth vuln alpi;hl;+;;;
ds02;cham alpi;hl;r;;;
ds02;prim mini;hl;1;;;
ds02;heli alpe;hl;1;;;
ds02;prim clus;hl;1;;;
ds02;cetr isla isla;ml;1;;;
ds02;alec ochr;ml;2a;;;
ds02;racu lanu;ml;3;;;
ds02;clad unci slat;ml;1;;;
ds02;cetr isla isla;ml;+;;;
ds02;cetr eric;ml;+;;;
ds02;clad rang;ml;+;;;
ds02;vulp tubu;ml;1;;;
ds02;tort tort;ml;1;;;
ds02;tham verm verm;ml;+;;;
ds02;calo tiro;ml;+;;;
ds03;care firm;hl;4;;;
ds03;drya octo;hl;2b;;;
ds03;kobr simp;hl;1;;;
ds03;calo tiro;hl;1;;;
ds03;tofi pusi;hl;+;;;
ds03;euph sali;hl;1;;;
ds03;andr cham;hl;1;;;
ds03;drab saut;hl;+;;;
ds03;ping alpi;hl;+;;;
ds03;crep terg;hl;1;;;
ds03;agro alpi;hl;1;;;
ds03;sile acau long;hl;+;;;
ds03;minu sedo;hl;+;;;
ds03;prim mini;hl;1;;;
ds03;lois proc;hl;1;;;
ds03;sela sela;hl;+;;;
ds03;cham alpi;hl;+;;;
ds03;vacc gaul;hl;1;;;
ds03;ranu alpe;hl;+;;;
ds03;fest pumi;hl;2a;;;
ds03;heli alpe;hl;+;;;
ds03;pers vivi;hl;+;;;
ds03;pedi rost tata;hl;+;;;
ds03;oxyt mont;hl;r;;;
ds03;gent vern vern;hl;+;;;
ds03;care fuli;hl;r;;;
ds03;tort tort;ml;+;;;
ds03;clad unci slat;ml;+;;;
